,,,,,,,,,,,,,
"2. DRP GROWTH: PRACTITIONER TIER PROMOTIONS (T4➔T3, T3➔T2, T2➔T1)",,,,,,,,,,,,,
Tier Transition,July Upgrades,August Upgrades,September Upgrades,Q3 Total Upgrades,Unique Profiles,July % Share,August % Share,September % Share,Top Practice Area,Top Product,Growth Velocity,DRP Partner Key,Status
Tier 4 ➔ Tier 3,0,0,2,2,2,0.0%,0.0%,100.0%,Artificial Intelligence,GECX - CX Agent Studio,🌱 Emerging,P20220609043,Active Progression
Tier 3 ➔ Tier 2,0,0,0,0,0,0.0%,0.0%,0.0%,-,-,🌱 Emerging,P20220609043,No Upgrades
Tier 2 ➔ Tier 1,0,0,1,1,1,0.0%,0.0%,100.0%,Data & Analytics,BigQuery,🌱 Emerging,P20220609043,Active Progression
TOTAL DRP TIER PROMOTIONS,0,0,3,3,2,0.0%,0.0%,100.0%,-,-,-,-,-
,,,,,,,,,,,,,
PRACTICE AREA & PRODUCT TIER PROGRESSION TABLE,,,,,,,,,,,,,
Practice Area,Product,Tier 4 ➔ Tier 3,Tier 3 ➔ Tier 2,Tier 2 ➔ Tier 1,Total Upgrades,July Upgrades,August Upgrades,September Upgrades,Unique Profiles,DRP Partner Key,Growth Velocity Rating,Primary Upgrade Stage,Status
Artificial Intelligence,GECX - CX Agent Studio,1,0,0,1,0,0,1,1,P20220609043,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Data & Analytics,BigQuery,0,0,1,1,0,0,1,1,P20220609043,🌱 Emerging (1-2),Tier 2 ➔ Tier 1,Active
Infrastructure Modernization,Google Compute Engine,1,0,0,1,0,0,1,1,P20220609043,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
TOTAL,-,2,0,1,3,0,0,3,2,-,-,-,-
,,,,,,,,,,,,,
PRACTITIONER PROFILES PROGRESSION DETAIL (INDIVIDUAL LEVEL TRANSITIONS),,,,,,,,,,,,,
Profile ID,Practice Area,Product,Tier Movement,Transition Month,Transition Date,Previous Score,New Score,Score Delta,Previous Tier,New Tier,DRP Partner Key,Promotion Type,Status
DAVCVUUS9,Artificial Intelligence,GECX - CX Agent Studio,Tier 4 ➔ Tier 3,September,2026-09-01,17.0,32.0,+15.0,Tier 4,Tier 3,P20220609043,Tier Upgrade,Promoted
DAVCVUUS9,Data & Analytics,BigQuery,Tier 2 ➔ Tier 1,September,2026-09-17,47.0,52.0,+5.0,Tier 2,Tier 1,P20220609043,Tier Upgrade,Promoted
DAVEBLMA8,Infrastructure Modernization,Google Compute Engine,Tier 4 ➔ Tier 3,September,2026-09-17,16.0,21.0,+5.0,Tier 4,Tier 3,P20220609043,Tier Upgrade,Promoted
