PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: NXN Consultores | Partner Engineer: Ignacio Rauda | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 17 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hSpkPQAS"", ""COMERCIALIZADORA FARMACEUTICA DE CHIAPAS S.A.P.I. DE C.V."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009e4pKOAQ"", ""Migrate Data Warehouses & Data Lakes to Lakehouse"")","$30,000.00",Stage 3 ➔ Stage 4.1,September,2026-09-11,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.1: Pre Ramp / Mobilize,Alberto Alcala,Analytics,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OQHYoIAP"", ""GCP PSF Request - Farmacias del Ahorro"")",0014M00001mrufoQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001h3RyIQAU"", ""Premium Restaurant Brands, S. de R.L.C.V."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009kNAMOA2"", ""Workload/PRB/Datafoundation"")","$240,000.00",Stage 0-2 ➔ Stage 3,September,2026-09-14,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Evelyn Sandoval,Analytics,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OCCLrIAP"", ""PRB/Datafoundations"")",0014M00001mrufoQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001qMZgAQAW"", ""Laboratorios Silanes"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009kIpoOAE"", ""workload/silanes/Data"")","$110,000.00",Stage 0-2 ➔ Stage 3,September,2026-09-14,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Evelyn Sandoval,Analytics,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OAqozIAD"", ""Laboratorios Silanes #GCP #Data&IA-Comercial #MX"")",0014M00001mrufoQAA,Progressed
,,,,,,,,,,,,,
"2. DRP GROWTH: PRACTITIONER TIER PROMOTIONS (T4➔T3, T3➔T2, T2➔T1)",,,,,,,,,,,,,
Tier Transition,July Upgrades,August Upgrades,September Upgrades,Q3 Total Upgrades,Unique Profiles,July % Share,August % Share,September % Share,Top Practice Area,Top Product,Growth Velocity,DRP Partner Key,Status
Tier 4 ➔ Tier 3,2,0,0,2,1,100.0%,0.0%,0.0%,Data & Analytics,BigQuery,🌱 Emerging,P20230723037,Active Progression
Tier 3 ➔ Tier 2,0,1,0,1,1,0.0%,100.0%,0.0%,Infrastructure Modernization,Google Cloud Networking,🌱 Emerging,P20230723037,Active Progression
Tier 2 ➔ Tier 1,0,0,0,0,0,0.0%,0.0%,0.0%,-,-,🌱 Emerging,P20230723037,No Upgrades
TOTAL DRP TIER PROMOTIONS,2,1,0,3,2,66.7%,33.3%,0.0%,-,-,-,-,-
,,,,,,,,,,,,,
PRACTICE AREA & PRODUCT TIER PROGRESSION TABLE,,,,,,,,,,,,,
Practice Area,Product,Tier 4 ➔ Tier 3,Tier 3 ➔ Tier 2,Tier 2 ➔ Tier 1,Total Upgrades,July Upgrades,August Upgrades,September Upgrades,Unique Profiles,DRP Partner Key,Growth Velocity Rating,Primary Upgrade Stage,Status
Artificial Intelligence,AI Applications,1,0,0,1,1,0,0,1,P20230723037,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Data & Analytics,BigQuery,1,0,0,1,1,0,0,1,P20230723037,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Infrastructure Modernization,Google Cloud Networking,0,1,0,1,0,1,0,1,P20230723037,🌱 Emerging (1-2),Tier 3 ➔ Tier 2,Active
TOTAL,-,2,1,0,3,2,1,0,2,-,-,-,-
,,,,,,,,,,,,,
PRACTITIONER PROFILES PROGRESSION DETAIL (INDIVIDUAL LEVEL TRANSITIONS),,,,,,,,,,,,,
Profile ID,Practice Area,Product,Tier Movement,Transition Month,Transition Date,Previous Score,New Score,Score Delta,Previous Tier,New Tier,DRP Partner Key,Promotion Type,Status
NXNFLEER3,Artificial Intelligence,AI Applications,Tier 4 ➔ Tier 3,July,2026-07-29,11.0,21.0,+10.0,Tier 4,Tier 3,P20230723037,Tier Upgrade,Promoted
NXNFLEER3,Data & Analytics,BigQuery,Tier 4 ➔ Tier 3,July,2026-07-29,11.0,21.0,+10.0,Tier 4,Tier 3,P20230723037,Tier Upgrade,Promoted
NXNVCACX4,Infrastructure Modernization,Google Cloud Networking,Tier 3 ➔ Tier 2,August,2026-08-12,34.0,39.0,+5.0,Tier 3,Tier 2,P20230723037,Tier Upgrade,Promoted
