PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: IPNET (Telefônica Cloud) | Partner Engineer: Thiago da Ponte | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 15 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001htXJTQA2"", ""Zilor Energia e Alimentos"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZMhwOAG"", ""[Zilor] SAP IaaS"")","$240,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-24,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Ana Luiza Gama,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PVDmvIAH"", ""Zilor - SAP IaaS"")",0014M00001h31NNQAY,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hKAf0QAG"", ""Veustec Serviços de Informática Ltda."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZMEKOA4"", ""VeusTec  #GEMINIENTERRISE #GCP #OUT"")","$11,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-24,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Tamires Peres,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000Or1BwIAJ"", ""VeusTec  #GEMINIENTERRISE #GCP #OUT"")",0014M00001h31NNQAY,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hmd2QQAQ"", ""Arabela, S.A. de C.V."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009kKjnOAE"", ""Arabela - Consesion"")","$25,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-27,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Linnet Jáuregui,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OBhLgIAL"", ""Arabela - Concesion para Proyecto VMs"")",0014M00001h38bpQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001sBK70QAG"", ""Bemobi"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf0000082FjPOAU"", ""[Bemobi - Wave] CloudSQL for New Telco Management System"")","$75,000.00",Stage 3 ➔ Stage 4.1,July,2026-07-30,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.3: Migrated/Implemented,Ana Paula Pereira,Migrate and Modernize Databases,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000Lz5qPIAR"", ""[Bemobi - Wave] CloudSQL for New Telco Management System #JANTARDB"")",0014M00001h31NNQAY,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hY0AxQAK"", ""BRB Banco de Brasília S/A"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009tbqzOAA"", ""BRB - Judite"")","$20,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-03,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Andre Estuqui,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000NSdtUIAT"", ""BRB - Assistente Virtual ( JUDITE )"")",0014M00001h31NNQAY,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001yV5CyQAK"", ""SAPURA NAVEGACAO MARITIMA SA (Seagems)"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZGPtOAO"", ""Seagems - Agent Platform (Projeto Agente Cognitivo de PEs)"")","$25,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-07,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Jose Sales Andrade,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PFSJEIA5"", ""Seagems - GE Projeto Agente Cognitivo de PEs"")",0014M00001h31NNQAY,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hjzRRQAY"", ""E-Xyon Tecnologia e Informacao Ltda"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eD4oOAE"", ""E-XYON - GEMINI ENTERPRISE"")","$20,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-07,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Jose Sales Andrade,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OouztIAB"", ""E-XYON #GEMINI ENTERPRISE #GCP #OUT"")",0014M00001h31NNQAY,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001lvr76QAA"", ""Camara Legislativa do Distrito Federal"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009tZvOOAU"", ""Gem Enterprise - CLDF"")","$400,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-10,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Tamyres Rocha,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000NSVcuIAH"", ""Gem Enterprise - CLDF"")",0014M00001h31NNQAY,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hM87VQAS"", ""Onfly"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009kJ2JOAU"", ""Onfly AWS Migration"")","$300,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-10,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Ivan Arruda,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000Oq5QkIAJ"", ""ONFLY - AWS Migration - #BR #OUT #NEXT_2026 #SalesCreditPOC"")",0014M00001h31NNQAY,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hknAlQAI"", ""aprix.com.br"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009e9bdOAA"", ""General (Azure)"")","$103,338.00",Stage 0-2 ➔ Stage 3,August,2026-08-10,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,4.3: Migrated/Implemented,Alexandre Gochomoto,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000Om0JrIAJ"", ""Aprix Azure Migration"")",0014M00001h31NNQAY,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hknAlQAI"", ""aprix.com.br"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009e9bdOAA"", ""General (Azure)"")","$103,338.00",Stage 3 ➔ Stage 4.1,August,2026-08-10,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.3: Migrated/Implemented,Alexandre Gochomoto,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000Om0JrIAJ"", ""Aprix Azure Migration"")",0014M00001h31NNQAY,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/001Kf000011Qd9OIAS"", ""PGMAIS SOLUCOES EM TECNOLOGIA DA INFORMACAO SA"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009dxaLOAQ"", ""Data Analytics"")","$17,532.00",Stage 0-2 ➔ Stage 3,August,2026-08-10,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,Closed,Alexandre Gochomoto,Analytics,Opportunity,0014M00001h31NNQAY,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/001Kf000011Qd9OIAS"", ""PGMAIS SOLUCOES EM TECNOLOGIA DA INFORMACAO SA"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009dxaLOAQ"", ""Data Analytics"")","$17,532.00",Stage 3 ➔ Stage 4.1,August,2026-08-10,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,Closed,Alexandre Gochomoto,Analytics,Opportunity,0014M00001h31NNQAY,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001h5HwcQAE"", ""Wilson, Sons de Administração e Comércio Ltda"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000006ADwEOAW"", ""Wilson Sons | Infra"")","$60,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-12,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Daniela Benevides,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000KqmbOIAR"", ""Wilson Sons | Commit 3Y"")",0014M00001h31NNQAY,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hUMmdQAG"", ""Rede D'or São Luiz S/A"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009kHcZOAU"", ""Sul América - Antigravity"")","$126,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-14,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Daniela Kwaks,Developer AI Assistance,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OAKilIAH"", ""Sul América - Antigravity"")",0014M00001h31NNQAY,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00002Jm9IHQAZ"", ""Leve Saúde"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZD0rOAG"", ""Gemini Enterprise Upsell - Leve Saúde"")","$204,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-17,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Eduardo Hauaji,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PjDy7IAF"", ""Leve Saúde - Gemini Enterprise Upsell"")",0014M00001h31NNQAY,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hUMmdQAG"", ""Rede D'or São Luiz S/A"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009kJToOAM"", ""Sul América - Agente RH"")","$60,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-19,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Daniela Kwaks,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OBBBYIA5"", ""Sul América - Agente RH"")",0014M00001h31NNQAY,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hjzRRQAY"", ""E-Xyon Tecnologia e Informacao Ltda"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009e4Z2OAI"", ""E-xyon - Chrome Enterprise Plus"")","$20,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-20,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,Closed,Jose Sales Andrade,Security,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000ORKfTIAX"", ""E-XYON #CHROME ENTERPRISE PLUS (CEP) #GCP #OUT"")",0014M00001h31NNQAY,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001h5UX6QAM"", ""Agência Brasileira de Promoção de Exportações e Investimentos - APEX BRASIL"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eTEaOAM"", ""Gemini Enterprise Adoption"")",$100.00,Stage 0-2 ➔ Stage 3,September,2026-09-02,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,4.2: Ramping / Deliver,Aline Bergamaschi,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PGA0QIAX"", ""Gemini Enterprise"")",0014M00001h31NNQAY,Progressed
,,,,,,,,,,,,,
"2. DRP GROWTH: PRACTITIONER TIER PROMOTIONS (T4➔T3, T3➔T2, T2➔T1)",,,,,,,,,,,,,
Tier Transition,July Upgrades,August Upgrades,September Upgrades,Q3 Total Upgrades,Unique Profiles,July % Share,August % Share,September % Share,Top Practice Area,Top Product,Growth Velocity,DRP Partner Key,Status
Tier 4 ➔ Tier 3,0,0,0,0,0,0.0%,0.0%,0.0%,-,-,🌱 Emerging,0014M00002QBQ0KQAX,No Upgrades
Tier 3 ➔ Tier 2,0,0,0,0,0,0.0%,0.0%,0.0%,-,-,🌱 Emerging,0014M00002QBQ0KQAX,No Upgrades
Tier 2 ➔ Tier 1,0,0,0,0,0,0.0%,0.0%,0.0%,-,-,🌱 Emerging,0014M00002QBQ0KQAX,No Upgrades
TOTAL DRP TIER PROMOTIONS,0,0,0,0,0,0.0%,0.0%,0.0%,-,-,-,-,-
,,,,,,,,,,,,,
PRACTICE AREA & PRODUCT TIER PROGRESSION TABLE,,,,,,,,,,,,,
Practice Area,Product,Tier 4 ➔ Tier 3,Tier 3 ➔ Tier 2,Tier 2 ➔ Tier 1,Total Upgrades,July Upgrades,August Upgrades,September Upgrades,Unique Profiles,DRP Partner Key,Growth Velocity Rating,Primary Upgrade Stage,Status
No DRP tier promotions recorded for this partner in Q3 2026,,,,,,,,,,,,,
,,,,,,,,,,,,,
PRACTITIONER PROFILES PROGRESSION DETAIL (INDIVIDUAL LEVEL TRANSITIONS),,,,,,,,,,,,,
Profile ID,Practice Area,Product,Tier Movement,Transition Month,Transition Date,Previous Score,New Score,Score Delta,Previous Tier,New Tier,DRP Partner Key,Promotion Type,Status
No individual practitioner transitions recorded for this partner in Q3 2026,,,,,,,,,,,,,
