PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: Tech Pulse SPA (Axmos) | Partner Engineer: Oliver Hartley | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 16 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
"=HYPERLINK(""https://vector.corp.google.com/account/0014M0000202KgkQAE"", ""KOBA Colombia SAS"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZNvUOAW"", ""D1 - DB AWS postgre to Cloud SQL for postgre"")","$12,000.00",Stage 3 ➔ Stage 4.1,August,2026-08-24,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.2: Ramping / Deliver,Harold Zuluaga,Migrate and Modernize Databases,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PiIkBIAV"", ""D1 - DB AWS postgre to Cloud SQL for postgre"")",0014M00002JmizDQAR,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001s98VtQAI"", ""Danper"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZDZ6OAO"", ""Danper - Migracion SQL Server to AlloyDB"")","$18,364.00",Stage 0-2 ➔ Stage 3,September,2026-09-07,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,4.2: Ramping / Deliver,Edgardo Rizo-Patron Pinillos,Migrate and Modernize Databases,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000P9UHyIAN"", ""Danper - Migracion SQL Server to AlloyDB"")",0014M00002JmizDQAR,Progressed
,,,,,,,,,,,,,
"2. DRP GROWTH: PRACTITIONER TIER PROMOTIONS (T4➔T3, T3➔T2, T2➔T1)",,,,,,,,,,,,,
Tier Transition,July Upgrades,August Upgrades,September Upgrades,Q3 Total Upgrades,Unique Profiles,July % Share,August % Share,September % Share,Top Practice Area,Top Product,Growth Velocity,DRP Partner Key,Status
Tier 4 ➔ Tier 3,8,2,1,11,5,72.7%,18.2%,9.1%,Application Modernization,Google Kubernetes Engine,🔥 High,P20260318001,Active Progression
Tier 3 ➔ Tier 2,2,1,0,3,3,66.7%,33.3%,0.0%,Application Modernization,Google Kubernetes Engine,🚀 Steady,P20260318001,Active Progression
Tier 2 ➔ Tier 1,0,1,0,1,1,0.0%,100.0%,0.0%,Security,Cloud Security,🌱 Emerging,P20260318001,Active Progression
TOTAL DRP TIER PROMOTIONS,10,4,1,15,9,66.7%,26.7%,6.7%,-,-,-,-,-
,,,,,,,,,,,,,
PRACTICE AREA & PRODUCT TIER PROGRESSION TABLE,,,,,,,,,,,,,
Practice Area,Product,Tier 4 ➔ Tier 3,Tier 3 ➔ Tier 2,Tier 2 ➔ Tier 1,Total Upgrades,July Upgrades,August Upgrades,September Upgrades,Unique Profiles,DRP Partner Key,Growth Velocity Rating,Primary Upgrade Stage,Status
Application Modernization,Apigee API Management,1,0,0,1,1,0,0,1,P20260318001,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Application Modernization,Cloud Run,1,0,0,1,0,1,0,1,P20260318001,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Application Modernization,Google Kubernetes Engine,4,1,0,5,4,1,0,5,P20260318001,🚀 Steady Growth (3-9),Tier 4 ➔ Tier 3,Active
Artificial Intelligence,GECX - CX Agent Studio,1,0,0,1,0,0,1,1,P20260318001,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Artificial Intelligence,Gemini Enterprise for Customer Experience,1,0,0,1,1,0,0,1,P20260318001,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Databases,Cloud SQL,1,0,0,1,1,0,0,1,P20260318001,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Infrastructure Modernization,Google Cloud Networking,0,1,0,1,0,1,0,1,P20260318001,🌱 Emerging (1-2),Tier 3 ➔ Tier 2,Active
Infrastructure Modernization,Google Compute Engine,2,0,0,2,2,0,0,2,P20260318001,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Security,Cloud Security,0,0,1,1,0,1,0,1,P20260318001,🌱 Emerging (1-2),Tier 2 ➔ Tier 1,Active
Workspace,Workspace,0,1,0,1,1,0,0,1,P20260318001,🌱 Emerging (1-2),Tier 3 ➔ Tier 2,Active
TOTAL,-,11,3,1,15,10,4,1,9,-,-,-,-
,,,,,,,,,,,,,
PRACTITIONER PROFILES PROGRESSION DETAIL (INDIVIDUAL LEVEL TRANSITIONS),,,,,,,,,,,,,
Profile ID,Practice Area,Product,Tier Movement,Transition Month,Transition Date,Previous Score,New Score,Score Delta,Previous Tier,New Tier,DRP Partner Key,Promotion Type,Status
KOCGHQVY3,Application Modernization,Google Kubernetes Engine,Tier 3 ➔ Tier 2,July,2026-07-01,34.0,39.0,+5.0,Tier 3,Tier 2,P20260318001,Tier Upgrade,Promoted
KOCDJKPN5,Application Modernization,Google Kubernetes Engine,Tier 4 ➔ Tier 3,July,2026-07-12,10.0,20.0,+10.0,Tier 4,Tier 3,P20260318001,Tier Upgrade,Promoted
KOCDJKPN5,Infrastructure Modernization,Google Compute Engine,Tier 4 ➔ Tier 3,July,2026-07-12,10.0,20.0,+10.0,Tier 4,Tier 3,P20260318001,Tier Upgrade,Promoted
KOCRMQGP0,Application Modernization,Apigee API Management,Tier 4 ➔ Tier 3,July,2026-07-22,15.0,20.0,+5.0,Tier 4,Tier 3,P20260318001,Tier Upgrade,Promoted
KOCRMQGP0,Application Modernization,Google Kubernetes Engine,Tier 4 ➔ Tier 3,July,2026-07-22,15.0,25.0,+10.0,Tier 4,Tier 3,P20260318001,Tier Upgrade,Promoted
KOCMBMWO1,Databases,Cloud SQL,Tier 4 ➔ Tier 3,July,2026-07-22,15.0,20.0,+5.0,Tier 4,Tier 3,P20260318001,Tier Upgrade,Promoted
KOCMBMWO1,Infrastructure Modernization,Google Compute Engine,Tier 4 ➔ Tier 3,July,2026-07-22,10.0,20.0,+10.0,Tier 4,Tier 3,P20260318001,Tier Upgrade,Promoted
KOCDMBUC0,Workspace,Workspace,Tier 3 ➔ Tier 2,July,2026-07-23,30.0,40.0,+10.0,Tier 3,Tier 2,P20260318001,Tier Upgrade,Promoted
KOCFBFGI7,Application Modernization,Google Kubernetes Engine,Tier 4 ➔ Tier 3,July,2026-07-25,15.0,20.0,+5.0,Tier 4,Tier 3,P20260318001,Tier Upgrade,Promoted
KOCJAYVD9,Artificial Intelligence,Gemini Enterprise for Customer Experience,Tier 4 ➔ Tier 3,July,2026-07-29,19.0,24.0,+5.0,Tier 4,Tier 3,P20260318001,Tier Upgrade,Promoted
KOCMBMWO1,Application Modernization,Google Kubernetes Engine,Tier 4 ➔ Tier 3,August,2026-08-06,15.0,20.0,+5.0,Tier 4,Tier 3,P20260318001,Tier Upgrade,Promoted
KOCMBMWO1,Application Modernization,Cloud Run,Tier 4 ➔ Tier 3,August,2026-08-06,15.0,20.0,+5.0,Tier 4,Tier 3,P20260318001,Tier Upgrade,Promoted
KOCMPFHQ8,Security,Cloud Security,Tier 2 ➔ Tier 1,August,2026-08-13,49.0,54.0,+5.0,Tier 2,Tier 1,P20260318001,Tier Upgrade,Promoted
KOCAMZWL6,Infrastructure Modernization,Google Cloud Networking,Tier 3 ➔ Tier 2,August,2026-08-27,34.0,39.0,+5.0,Tier 3,Tier 2,P20260318001,Tier Upgrade,Promoted
KOCJAYVD9,Artificial Intelligence,GECX - CX Agent Studio,Tier 4 ➔ Tier 3,September,2026-09-01,19.0,24.0,+5.0,Tier 4,Tier 3,P20260318001,Tier Upgrade,Promoted
