PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: Multiedro Serviços de TI Ltda. | Partner Engineer: Wanda Flores | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 25 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
MULMSDPY7,Artificial Intelligence,Gemini Enterprise,Tier 2 ➔ Tier 1,August,2026-08-06,49.0,64.0,+15.0,Tier 2,Tier 1,P20220923207,Tier Upgrade,Promoted
MULLSNJW4,Artificial Intelligence,Gemini Enterprise,Tier 3 ➔ Tier 2,August,2026-08-11,34.0,39.0,+5.0,Tier 3,Tier 2,P20220923207,Tier Upgrade,Promoted
MULVDDRY4,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,August,2026-08-25,19.0,34.0,+15.0,Tier 4,Tier 3,P20220923207,Tier Upgrade,Promoted
MULGROON2,Application Modernization,Cloud Run,Tier 4 ➔ Tier 3,August,2026-08-27,19.0,24.0,+5.0,Tier 4,Tier 3,P20220923207,Tier Upgrade,Promoted
MULLSNJW4,Data & Analytics,Dataflow,Tier 2 ➔ Tier 1,August,2026-08-27,49.0,54.0,+5.0,Tier 2,Tier 1,P20220923207,Tier Upgrade,Promoted
MULRMBIG6,Infrastructure Modernization,Google Cloud VMware Engine,Tier 4 ➔ Tier 3,August,2026-08-27,19.0,24.0,+5.0,Tier 4,Tier 3,P20220923207,Tier Upgrade,Promoted
MULLSNXY3,Infrastructure Modernization,Google Cloud VMware Engine,Tier 4 ➔ Tier 3,August,2026-08-27,19.0,24.0,+5.0,Tier 4,Tier 3,P20220923207,Tier Upgrade,Promoted
MULRMBIG6,Security,Security Operations,Tier 4 ➔ Tier 3,August,2026-08-27,19.0,24.0,+5.0,Tier 4,Tier 3,P20220923207,Tier Upgrade,Promoted
MULJFJJE4,Application Modernization,Cloud Run,Tier 4 ➔ Tier 3,September,2026-09-02,19.0,24.0,+5.0,Tier 4,Tier 3,P20220923207,Tier Upgrade,Promoted
MULJFJJE4,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 4 ➔ Tier 3,September,2026-09-02,14.0,24.0,+10.0,Tier 4,Tier 3,P20220923207,Tier Upgrade,Promoted
MULJFJJE4,Data & Analytics,BigQuery,Tier 4 ➔ Tier 3,September,2026-09-02,19.0,24.0,+5.0,Tier 4,Tier 3,P20220923207,Tier Upgrade,Promoted
MULLRFTT7,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,September,2026-09-03,10.0,25.0,+15.0,Tier 4,Tier 3,P20220923207,Tier Upgrade,Promoted
MULLRFTT7,Artificial Intelligence,Gemini Enterprise,Tier 3 ➔ Tier 2,September,2026-09-10,25.0,35.0,+10.0,Tier 3,Tier 2,P20220923207,Tier Upgrade,Promoted
MULVDDRY4,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 4 ➔ Tier 3,September,2026-09-13,19.0,24.0,+5.0,Tier 4,Tier 3,P20220923207,Tier Upgrade,Promoted
MULMFLHY1,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,September,2026-09-16,10.0,20.0,+10.0,Tier 4,Tier 3,P20220923207,Tier Upgrade,Promoted
