PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: Tigabytes | Partner Engineer: Fernando Laguna | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 25 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
TIGLSCNG9,Artificial Intelligence,GECX - CX Agent Studio,Tier 3 ➔ Tier 2,September,2026-09-01,24.0,39.0,+15.0,Tier 3,Tier 2,P20220602092,Tier Upgrade,Promoted
TIGFMGEB7,Artificial Intelligence,AI Applications,Tier 3 ➔ Tier 2,September,2026-09-12,30.0,35.0,+5.0,Tier 3,Tier 2,P20220602092,Tier Upgrade,Promoted
TIGFGVUR7,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,September,2026-09-16,5.0,20.0,+15.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGCSQQU0,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 3 ➔ Tier 2,September,2026-09-16,34.0,49.0,+15.0,Tier 3,Tier 2,P20220602092,Tier Upgrade,Promoted
TIGMIMHS2,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 3 ➔ Tier 2,September,2026-09-16,34.0,44.0,+10.0,Tier 3,Tier 2,P20220602092,Tier Upgrade,Promoted
TIGRFRDQ2,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 2 ➔ Tier 1,September,2026-09-16,49.0,54.0,+5.0,Tier 2,Tier 1,P20220602092,Tier Upgrade,Promoted
TIGCSQQU0,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 2 ➔ Tier 1,September,2026-09-17,49.0,54.0,+5.0,Tier 2,Tier 1,P20220602092,Tier Upgrade,Promoted
TIGCCOCI9,Data & Analytics,BigQuery,Tier 4 ➔ Tier 3,September,2026-09-17,19.0,24.0,+5.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGCSQQU0,Workspace,Workspace,Tier 2 ➔ Tier 1,September,2026-09-17,44.0,59.0,+15.0,Tier 2,Tier 1,P20220602092,Tier Upgrade,Promoted
TIGDPBYM2,Application Modernization,Google Kubernetes Engine,Tier 4 ➔ Tier 3,September,2026-09-18,18.0,23.0,+5.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGMIMHS2,Artificial Intelligence,GECX - CX Agent Studio,Tier 4 ➔ Tier 3,September,2026-09-18,19.0,24.0,+5.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGMMMVD2,Artificial Intelligence,GECX - CX Insights,Tier 3 ➔ Tier 2,September,2026-09-18,34.0,39.0,+5.0,Tier 3,Tier 2,P20220602092,Tier Upgrade,Promoted
TIGPHQBE9,Artificial Intelligence,GECX - CX Agent Studio,Tier 4 ➔ Tier 3,September,2026-09-18,19.0,24.0,+5.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGMIMHS2,Artificial Intelligence,GECX - CX Insights,Tier 3 ➔ Tier 2,September,2026-09-18,34.0,39.0,+5.0,Tier 3,Tier 2,P20220602092,Tier Upgrade,Promoted
TIGMMMVD2,Artificial Intelligence,GECX - CCaaS,Tier 3 ➔ Tier 2,September,2026-09-18,34.0,39.0,+5.0,Tier 3,Tier 2,P20220602092,Tier Upgrade,Promoted
TIGMIMHS2,Artificial Intelligence,GECX - CCaaS,Tier 3 ➔ Tier 2,September,2026-09-18,34.0,39.0,+5.0,Tier 3,Tier 2,P20220602092,Tier Upgrade,Promoted
TIGLSCNG9,Artificial Intelligence,GECX - Agent Assist,Tier 3 ➔ Tier 2,September,2026-09-18,34.0,39.0,+5.0,Tier 3,Tier 2,P20220602092,Tier Upgrade,Promoted
TIGCCOCI9,Data & Analytics,BigQuery,Tier 3 ➔ Tier 2,September,2026-09-18,24.0,39.0,+15.0,Tier 3,Tier 2,P20220602092,Tier Upgrade,Promoted
TIGCCOCI9,Data & Analytics,Dataflow,Tier 4 ➔ Tier 3,September,2026-09-18,19.0,34.0,+15.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGJATPQ4,Infrastructure Modernization,Google Compute Engine,Tier 2 ➔ Tier 1,September,2026-09-18,44.0,54.0,+10.0,Tier 2,Tier 1,P20220602092,Tier Upgrade,Promoted
TIGMIMHS2,Infrastructure Modernization,Google Compute Engine,Tier 2 ➔ Tier 1,September,2026-09-18,49.0,54.0,+5.0,Tier 2,Tier 1,P20220602092,Tier Upgrade,Promoted
TIGSMDFT3,Infrastructure Modernization,Google Compute Engine,Tier 2 ➔ Tier 1,September,2026-09-18,49.0,54.0,+5.0,Tier 2,Tier 1,P20220602092,Tier Upgrade,Promoted
TIGGLCZT6,Infrastructure Modernization,Google Compute Engine,Tier 2 ➔ Tier 1,September,2026-09-18,47.0,52.0,+5.0,Tier 2,Tier 1,P20220602092,Tier Upgrade,Promoted
TIGMMKLO9,Workspace,Workspace,Tier 2 ➔ Tier 1,September,2026-09-18,39.0,54.0,+15.0,Tier 2,Tier 1,P20220602092,Tier Upgrade,Promoted
TIGDMCCU7,Workspace,Workspace,Tier 3 ➔ Tier 2,September,2026-09-18,29.0,44.0,+15.0,Tier 3,Tier 2,P20220602092,Tier Upgrade,Promoted
TIGNANPY5,Workspace,Workspace,Tier 3 ➔ Tier 2,September,2026-09-18,25.0,35.0,+10.0,Tier 3,Tier 2,P20220602092,Tier Upgrade,Promoted
TIGIMHNT5,Workspace,Workspace,Tier 3 ➔ Tier 2,September,2026-09-18,25.0,40.0,+15.0,Tier 3,Tier 2,P20220602092,Tier Upgrade,Promoted
TIGJOUXC6,Workspace,Workspace,Tier 3 ➔ Tier 2,September,2026-09-18,20.0,40.0,+20.0,Tier 3,Tier 2,P20220602092,Tier Upgrade,Promoted
TIGVATEZ0,Workspace,Workspace,Tier 2 ➔ Tier 1,September,2026-09-19,35.0,50.0,+15.0,Tier 2,Tier 1,P20220602092,Tier Upgrade,Promoted
TIGJRDKH8,Workspace,Workspace,Tier 2 ➔ Tier 1,September,2026-09-23,35.0,79.0,+44.0,Tier 2,Tier 1,P20220602092,Tier Upgrade,Promoted
