PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: UCLOUD STORE COLOMBIA S A S | Partner Engineer: Ignacio Rauda | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 25 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hWtN4QAK"", ""AUTOTECNICA COLOMBIANA S A S"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009tSEhOAM"", ""Auteco_ vtex Iaas"")","$50,000.00",Stage 3 ➔ Stage 4.1,July,2026-07-27,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.3: Migrated/Implemented,Andrea Forero,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000NOGJ1IAP"", ""Auteco_ vtex Iaas #LAM"")",0014M00002M7lcJQAR,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/001Kf000015TVq0IAG"", ""Industria Colombiana de Motocicletas Yamaha S.A."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eVjkOAE"", ""FY26 Tier2 - Industria Colombiana de Motocicletas Yamaha #Gemini Enterprise #Gen"")","$7,200.00",Stage 0-2 ➔ Stage 3,September,2026-09-21,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Jorge Armando Barrios,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PjQHoIAN"", ""FY26 Tier2 - Industria Colombiana de Motocicletas Yamaha #Gemini Enterprise Agents Platform #API de generación"")",0014M00002M7lcJQAR,Progressed
,,,,,,,,,,,,,
"2. DRP GROWTH: PRACTITIONER TIER PROMOTIONS (T4➔T3, T3➔T2, T2➔T1)",,,,,,,,,,,,,
Tier Transition,July Upgrades,August Upgrades,September Upgrades,Q3 Total Upgrades,Unique Profiles,July % Share,August % Share,September % Share,Top Practice Area,Top Product,Growth Velocity,DRP Partner Key,Status
Tier 4 ➔ Tier 3,0,0,0,0,0,0.0%,0.0%,0.0%,-,-,🌱 Emerging,0014M00002M7lcJQAR,No Upgrades
Tier 3 ➔ Tier 2,0,0,0,0,0,0.0%,0.0%,0.0%,-,-,🌱 Emerging,0014M00002M7lcJQAR,No Upgrades
Tier 2 ➔ Tier 1,0,0,0,0,0,0.0%,0.0%,0.0%,-,-,🌱 Emerging,0014M00002M7lcJQAR,No Upgrades
TOTAL DRP TIER PROMOTIONS,0,0,0,0,0,0.0%,0.0%,0.0%,-,-,-,-,-
,,,,,,,,,,,,,
PRACTICE AREA & PRODUCT TIER PROGRESSION TABLE,,,,,,,,,,,,,
Practice Area,Product,Tier 4 ➔ Tier 3,Tier 3 ➔ Tier 2,Tier 2 ➔ Tier 1,Total Upgrades,July Upgrades,August Upgrades,September Upgrades,Unique Profiles,DRP Partner Key,Growth Velocity Rating,Primary Upgrade Stage,Status
No DRP tier promotions recorded for this partner in Q3 2026,,,,,,,,,,,,,
,,,,,,,,,,,,,
PRACTITIONER PROFILES PROGRESSION DETAIL (INDIVIDUAL LEVEL TRANSITIONS),,,,,,,,,,,,,
Profile ID,Practice Area,Product,Tier Movement,Transition Month,Transition Date,Previous Score,New Score,Score Delta,Previous Tier,New Tier,DRP Partner Key,Promotion Type,Status
No individual practitioner transitions recorded for this partner in Q3 2026,,,,,,,,,,,,,
