Partner Name,Pillar,Solution (Sales Play),Product,Tier 1 Profiles Count,Tier 2 Profiles Count,Total Tier 1 & 2 Profiles,Capacity Status (DRP vs Workloads)
Admazing Cloud,Infrastructure Modernization,Enterprise Platform of Choice: VMware,Google Cloud VMware Engine,,,,⚪ No Active Demand
Admazing Cloud,Infrastructure Modernization,"Migrate, Modernize and Build",Google Cloud Networking,1,,1,🟢 Ready (1 profiles)
Admazing Cloud,Infrastructure Modernization,"Migrate, Modernize and Build",Google Compute Engine,1,1,2,🟢 Ready (2 profiles)
Admazing Cloud,Infrastructure Modernization,Sovereignty,Google Distributed Cloud,,,,⚪ No Active Demand
Admazing Cloud,Security,Agentic Defense with Google Security,Google Threat Intelligence,,,,⚪ No Active Demand
Admazing Cloud,Security,Agentic Defense with Google Security,Security Command Center,1,,1,🟢 Ready (1 profiles)
Admazing Cloud,Security,Agentic Defense with Google Security,Security Operations,,,,⚪ No Active Demand
Admazing Cloud,Security,Secure Innovation with Google Cloud,Cloud Security,1,,1,🟢 Ready (1 profiles)
Admazing Cloud,Workspace,Agentic Workplace Transformation,Workspace,,,,⚪ No Active Demand
Davinci Technologies S.A.S.,Application Modernization,"Migrate, Modernize and Build",Apigee API Management,,,,⚪ No Active Demand
Davinci Technologies S.A.S.,Application Modernization,"Migrate, Modernize and Build",Cloud Run,,3,3,🟢 Ready (3 profiles)
Davinci Technologies S.A.S.,Application Modernization,"Migrate, Modernize and Build",Google Kubernetes Engine,8,,8,🟢 Ready (8 DRP / 2 wkls)
Davinci Technologies S.A.S.,Artificial Intelligence,Agentic Workplace Transformation,Gemini Enterprise,,,,⚪ No Active Demand
Davinci Technologies S.A.S.,Artificial Intelligence,Gemini Enterprise for Customer Experience,GECX - Agent Assist,,,,⚪ No Active Demand
Davinci Technologies S.A.S.,Artificial Intelligence,Gemini Enterprise for Customer Experience,GECX - CCaaS,,,,⚪ No Active Demand
Davinci Technologies S.A.S.,Artificial Intelligence,Gemini Enterprise for Customer Experience,GECX - CX Agent Studio,,,,⚪ No Active Demand
Davinci Technologies S.A.S.,Artificial Intelligence,Gemini Enterprise for Customer Experience,GECX - CX Insights,,,,⚪ No Active Demand
Davinci Technologies S.A.S.,Artificial Intelligence,Gemini Enterprise for Customer Experience,Gemini Enterprise Agent Platform,2,2,4,🟢 Ready (4 profiles)
Davinci Technologies S.A.S.,Artificial Intelligence,Leverage Generative Media in your Business,Gemini Enterprise Agent Platform,2,2,4,🟢 Ready (4 profiles)
Davinci Technologies S.A.S.,Artificial Intelligence,Scale AI Apps and Agents,AI Applications,2,,2,🟢 Ready (2 profiles)
Davinci Technologies S.A.S.,Artificial Intelligence,Scale AI Apps and Agents,Gemini Enterprise Agent Platform,2,2,4,🟢 Ready (4 profiles)
Davinci Technologies S.A.S.,Artificial Intelligence,Your Business. Your Models.,Gemini Enterprise Agent Platform,2,2,4,🟢 Ready (4 profiles)
Davinci Technologies S.A.S.,Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",BigQuery,2,2,4,🟢 Ready (4 profiles)
Davinci Technologies S.A.S.,Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",Dataflow,,3,3,🟢 Ready (3 profiles)
Davinci Technologies S.A.S.,Data & Analytics,The AI Ready Data Cloud,BigQuery,2,2,4,🟢 Ready (4 profiles)
Davinci Technologies S.A.S.,Data & Analytics,The AI Ready Data Cloud,Dataflow,,3,3,🟢 Ready (3 profiles)
Davinci Technologies S.A.S.,Data & Analytics,The AI Ready Data Cloud,Dataproc,,,,⚪ No Active Demand
Davinci Technologies S.A.S.,Data & Analytics,The AI Ready Data Cloud,Looker,2,,2,🟢 Ready (2 profiles)
Davinci Technologies S.A.S.,Databases,"Migrate, Modernize, and Build with Data Cloud",AlloyDB for PostgreSQL,,,,🔴 Gap (0 DRP / 1 wkls)
Davinci Technologies S.A.S.,Databases,"Migrate, Modernize, and Build with Data Cloud",Cloud SQL,,,,⚪ No Active Demand
Davinci Technologies S.A.S.,Databases,"Migrate, Modernize, and Build with Data Cloud",Spanner,,,,⚪ No Active Demand
Davinci Technologies S.A.S.,Databases,The AI Ready Data Cloud,AlloyDB for PostgreSQL,,,,⚪ No Active Demand
Davinci Technologies S.A.S.,Databases,The AI Ready Data Cloud,Cloud SQL,,,,⚪ No Active Demand
Davinci Technologies S.A.S.,Databases,The AI Ready Data Cloud,Spanner,,,,⚪ No Active Demand
Davinci Technologies S.A.S.,Infrastructure Modernization,Enterprise Platform of Choice: Oracle,Oracle,,,,⚪ No Active Demand
Davinci Technologies S.A.S.,Infrastructure Modernization,Enterprise Platform of Choice: SAP,SAP on Google Cloud,,,,⚪ No Active Demand
Davinci Technologies S.A.S.,Infrastructure Modernization,Enterprise Platform of Choice: VMware,Google Cloud VMware Engine,,,,⚪ No Active Demand
Davinci Technologies S.A.S.,Infrastructure Modernization,"Migrate, Modernize and Build",Google Cloud Networking,,,,⚪ No Active Demand
Davinci Technologies S.A.S.,Infrastructure Modernization,"Migrate, Modernize and Build",Google Compute Engine,1,1,2,🟢 Ready (2 DRP / 1 wkls)
Davinci Technologies S.A.S.,Infrastructure Modernization,Sovereignty,Google Distributed Cloud,,,,⚪ No Active Demand
Davinci Technologies S.A.S.,Security,Agentic Defense with Google Security,Google Threat Intelligence,,,,⚪ No Active Demand
Davinci Technologies S.A.S.,Security,Agentic Defense with Google Security,Security Command Center,,,,⚪ No Active Demand
Davinci Technologies S.A.S.,Security,Agentic Defense with Google Security,Security Operations,,,,🔴 Gap (0 DRP / 1 wkls)
Davinci Technologies S.A.S.,Security,Secure Innovation with Google Cloud,Cloud Security,,,,⚪ No Active Demand
Davinci Technologies S.A.S.,Workspace,Agentic Workplace Transformation,Workspace,5,,5,🟢 Ready (5 profiles)
Apiux Tecnologia SPA,Application Modernization,"Migrate, Modernize and Build",Apigee API Management,,,,🔴 Gap (0 DRP / 1 wkls)
Apiux Tecnologia SPA,Application Modernization,"Migrate, Modernize and Build",Cloud Run,,,,⚪ No Active Demand
Apiux Tecnologia SPA,Application Modernization,"Migrate, Modernize and Build",Google Kubernetes Engine,,1,1,🟢 Ready (1 profiles)
Apiux Tecnologia SPA,Artificial Intelligence,Agentic Workplace Transformation,Gemini Enterprise,,,,🔴 Gap (0 DRP / 1 wkls)
Apiux Tecnologia SPA,Artificial Intelligence,Gemini Enterprise for Customer Experience,GECX - Agent Assist,,,,⚪ No Active Demand
Apiux Tecnologia SPA,Artificial Intelligence,Gemini Enterprise for Customer Experience,GECX - CCaaS,,,,⚪ No Active Demand
Apiux Tecnologia SPA,Artificial Intelligence,Gemini Enterprise for Customer Experience,GECX - CX Agent Studio,,,,⚪ No Active Demand
Apiux Tecnologia SPA,Artificial Intelligence,Gemini Enterprise for Customer Experience,GECX - CX Insights,,,,⚪ No Active Demand
Apiux Tecnologia SPA,Artificial Intelligence,Gemini Enterprise for Customer Experience,Gemini Enterprise Agent Platform,,1,1,🟡 Constrained (1 DRP / 2 wkls)
Apiux Tecnologia SPA,Artificial Intelligence,Leverage Generative Media in your Business,Gemini Enterprise Agent Platform,,1,1,🟢 Ready (1 profiles)
Apiux Tecnologia SPA,Artificial Intelligence,Scale AI Apps and Agents,AI Applications,,,,🔴 Gap (0 DRP / 2 wkls)
Apiux Tecnologia SPA,Artificial Intelligence,Scale AI Apps and Agents,Gemini Enterprise Agent Platform,,1,1,🟢 Ready (1 profiles)
Apiux Tecnologia SPA,Artificial Intelligence,Your Business. Your Models.,Gemini Enterprise Agent Platform,,1,1,🟢 Ready (1 profiles)
Apiux Tecnologia SPA,Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",BigQuery,,,,🔴 Gap (0 DRP / 1 wkls)
Apiux Tecnologia SPA,Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",Dataflow,,,,⚪ No Active Demand
Apiux Tecnologia SPA,Data & Analytics,The AI Ready Data Cloud,BigQuery,,,,⚪ No Active Demand
Apiux Tecnologia SPA,Data & Analytics,The AI Ready Data Cloud,Dataflow,,,,⚪ No Active Demand
Apiux Tecnologia SPA,Data & Analytics,The AI Ready Data Cloud,Dataproc,,,,⚪ No Active Demand
Apiux Tecnologia SPA,Data & Analytics,The AI Ready Data Cloud,Looker,,,,⚪ No Active Demand
Apiux Tecnologia SPA,Databases,"Migrate, Modernize, and Build with Data Cloud",AlloyDB for PostgreSQL,,,,⚪ No Active Demand
Apiux Tecnologia SPA,Databases,"Migrate, Modernize, and Build with Data Cloud",Cloud SQL,,,,🔴 Gap (0 DRP / 1 wkls)
Apiux Tecnologia SPA,Databases,"Migrate, Modernize, and Build with Data Cloud",Spanner,,,,⚪ No Active Demand
Apiux Tecnologia SPA,Databases,The AI Ready Data Cloud,AlloyDB for PostgreSQL,,,,⚪ No Active Demand
Apiux Tecnologia SPA,Databases,The AI Ready Data Cloud,Cloud SQL,,,,⚪ No Active Demand
Apiux Tecnologia SPA,Databases,The AI Ready Data Cloud,Spanner,,,,⚪ No Active Demand
Apiux Tecnologia SPA,Infrastructure Modernization,Enterprise Platform of Choice: Oracle,Oracle,,,,⚪ No Active Demand
Apiux Tecnologia SPA,Infrastructure Modernization,Enterprise Platform of Choice: SAP,SAP on Google Cloud,,,,⚪ No Active Demand
Apiux Tecnologia SPA,Infrastructure Modernization,Enterprise Platform of Choice: VMware,Google Cloud VMware Engine,,,,⚪ No Active Demand
Apiux Tecnologia SPA,Infrastructure Modernization,"Migrate, Modernize and Build",Google Cloud Networking,,1,1,🟢 Ready (1 profiles)
Apiux Tecnologia SPA,Infrastructure Modernization,"Migrate, Modernize and Build",Google Compute Engine,,1,1,🟢 Ready (1 profiles)
Apiux Tecnologia SPA,Infrastructure Modernization,Sovereignty,Google Distributed Cloud,,,,⚪ No Active Demand
Apiux Tecnologia SPA,Security,Agentic Defense with Google Security,Google Threat Intelligence,,,,⚪ No Active Demand
Apiux Tecnologia SPA,Security,Agentic Defense with Google Security,Security Command Center,,,,⚪ No Active Demand
Apiux Tecnologia SPA,Security,Agentic Defense with Google Security,Security Operations,,,,⚪ No Active Demand
Apiux Tecnologia SPA,Security,Secure Innovation with Google Cloud,Cloud Security,,,,⚪ No Active Demand
Apiux Tecnologia SPA,Workspace,Agentic Workplace Transformation,Workspace,,,,⚪ No Active Demand
Multiedro Serviços de TI Ltda.,Application Modernization,"Migrate, Modernize and Build",Apigee API Management,,,,⚪ No Active Demand
Multiedro Serviços de TI Ltda.,Application Modernization,"Migrate, Modernize and Build",Cloud Run,,,,⚪ No Active Demand
Multiedro Serviços de TI Ltda.,Application Modernization,"Migrate, Modernize and Build",Google Kubernetes Engine,,1,1,🟢 Ready (1 DRP / 1 wkls)
Multiedro Serviços de TI Ltda.,Artificial Intelligence,Agentic Workplace Transformation,Gemini Enterprise,2,3,5,🟢 Ready (5 DRP / 3 wkls)
Multiedro Serviços de TI Ltda.,Artificial Intelligence,Gemini Enterprise for Customer Experience,GECX - Agent Assist,,,,⚪ No Active Demand
Multiedro Serviços de TI Ltda.,Artificial Intelligence,Gemini Enterprise for Customer Experience,GECX - CCaaS,,,,⚪ No Active Demand
Multiedro Serviços de TI Ltda.,Artificial Intelligence,Gemini Enterprise for Customer Experience,GECX - CX Agent Studio,,,,⚪ No Active Demand
Multiedro Serviços de TI Ltda.,Artificial Intelligence,Gemini Enterprise for Customer Experience,GECX - CX Insights,,,,⚪ No Active Demand
Multiedro Serviços de TI Ltda.,Artificial Intelligence,Gemini Enterprise for Customer Experience,Gemini Enterprise Agent Platform,4,2,6,🟢 Ready (6 DRP / 2 wkls)
Multiedro Serviços de TI Ltda.,Artificial Intelligence,Leverage Generative Media in your Business,Gemini Enterprise Agent Platform,4,2,6,🟢 Ready (6 profiles)
Multiedro Serviços de TI Ltda.,Artificial Intelligence,Scale AI Apps and Agents,AI Applications,,1,1,🟡 Constrained (1 DRP / 2 wkls)
Multiedro Serviços de TI Ltda.,Artificial Intelligence,Scale AI Apps and Agents,Gemini Enterprise Agent Platform,4,2,6,🟢 Ready (6 profiles)
Multiedro Serviços de TI Ltda.,Artificial Intelligence,Your Business. Your Models.,Gemini Enterprise Agent Platform,4,2,6,🟢 Ready (6 profiles)
Multiedro Serviços de TI Ltda.,Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",BigQuery,3,1,4,🟢 Ready (4 DRP / 4 wkls)
Multiedro Serviços de TI Ltda.,Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",Dataflow,2,,2,🟢 Ready (2 profiles)
Multiedro Serviços de TI Ltda.,Data & Analytics,The AI Ready Data Cloud,BigQuery,3,1,4,🟢 Ready (4 profiles)
Multiedro Serviços de TI Ltda.,Data & Analytics,The AI Ready Data Cloud,Dataflow,2,,2,🟢 Ready (2 profiles)
Multiedro Serviços de TI Ltda.,Data & Analytics,The AI Ready Data Cloud,Dataproc,,,,⚪ No Active Demand
Multiedro Serviços de TI Ltda.,Data & Analytics,The AI Ready Data Cloud,Looker,,2,2,🟢 Ready (2 DRP / 1 wkls)
Multiedro Serviços de TI Ltda.,Databases,"Migrate, Modernize, and Build with Data Cloud",AlloyDB for PostgreSQL,,,,⚪ No Active Demand
Multiedro Serviços de TI Ltda.,Databases,"Migrate, Modernize, and Build with Data Cloud",Cloud SQL,,2,2,🟢 Ready (2 DRP / 2 wkls)
Multiedro Serviços de TI Ltda.,Databases,"Migrate, Modernize, and Build with Data Cloud",Spanner,,,,⚪ No Active Demand
Multiedro Serviços de TI Ltda.,Databases,The AI Ready Data Cloud,AlloyDB for PostgreSQL,,,,⚪ No Active Demand
Multiedro Serviços de TI Ltda.,Databases,The AI Ready Data Cloud,Cloud SQL,,2,2,🟢 Ready (2 profiles)
Multiedro Serviços de TI Ltda.,Databases,The AI Ready Data Cloud,Spanner,,,,⚪ No Active Demand
Multiedro Serviços de TI Ltda.,Infrastructure Modernization,Enterprise Platform of Choice: Oracle,Oracle,,,,⚪ No Active Demand
Multiedro Serviços de TI Ltda.,Infrastructure Modernization,Enterprise Platform of Choice: SAP,SAP on Google Cloud,,,,⚪ No Active Demand
Multiedro Serviços de TI Ltda.,Infrastructure Modernization,Enterprise Platform of Choice: VMware,Google Cloud VMware Engine,,,,⚪ No Active Demand
Multiedro Serviços de TI Ltda.,Infrastructure Modernization,"Migrate, Modernize and Build",Google Cloud Networking,,3,3,🟢 Ready (3 profiles)
Multiedro Serviços de TI Ltda.,Infrastructure Modernization,"Migrate, Modernize and Build",Google Compute Engine,2,3,5,🟢 Ready (5 profiles)
Multiedro Serviços de TI Ltda.,Infrastructure Modernization,Sovereignty,Google Distributed Cloud,,,,⚪ No Active Demand
Multiedro Serviços de TI Ltda.,Security,Agentic Defense with Google Security,Google Threat Intelligence,,,,⚪ No Active Demand
Multiedro Serviços de TI Ltda.,Security,Agentic Defense with Google Security,Security Command Center,,,,🔴 Gap (0 DRP / 1 wkls)
Multiedro Serviços de TI Ltda.,Security,Agentic Defense with Google Security,Security Operations,,,,⚪ No Active Demand
Multiedro Serviços de TI Ltda.,Security,Secure Innovation with Google Cloud,Cloud Security,,,,⚪ No Active Demand
Multiedro Serviços de TI Ltda.,Workspace,Agentic Workplace Transformation,Workspace,10,,10,🟢 Ready (10 profiles)
DATALAKERS TECNOLOGIA LTDA,Application Modernization,"Migrate, Modernize and Build",Apigee API Management,,,,🔴 Gap (0 DRP / 1 wkls)
DATALAKERS TECNOLOGIA LTDA,Application Modernization,"Migrate, Modernize and Build",Cloud Run,,,,⚪ No Active Demand
DATALAKERS TECNOLOGIA LTDA,Application Modernization,"Migrate, Modernize and Build",Google Kubernetes Engine,,,,⚪ No Active Demand
DATALAKERS TECNOLOGIA LTDA,Artificial Intelligence,Agentic Workplace Transformation,Gemini Enterprise,,,,🔴 Gap (0 DRP / 1 wkls)
DATALAKERS TECNOLOGIA LTDA,Artificial Intelligence,Gemini Enterprise for Customer Experience,GECX - Agent Assist,,,,⚪ No Active Demand
DATALAKERS TECNOLOGIA LTDA,Artificial Intelligence,Gemini Enterprise for Customer Experience,GECX - CCaaS,,,,⚪ No Active Demand
DATALAKERS TECNOLOGIA LTDA,Artificial Intelligence,Gemini Enterprise for Customer Experience,GECX - CX Agent Studio,,,,⚪ No Active Demand
DATALAKERS TECNOLOGIA LTDA,Artificial Intelligence,Gemini Enterprise for Customer Experience,GECX - CX Insights,,,,⚪ No Active Demand
DATALAKERS TECNOLOGIA LTDA,Artificial Intelligence,Gemini Enterprise for Customer Experience,Gemini Enterprise Agent Platform,2,,2,🟢 Ready (2 profiles)
DATALAKERS TECNOLOGIA LTDA,Artificial Intelligence,Leverage Generative Media in your Business,Gemini Enterprise Agent Platform,2,,2,🟢 Ready (2 profiles)
DATALAKERS TECNOLOGIA LTDA,Artificial Intelligence,Scale AI Apps and Agents,AI Applications,,,,⚪ No Active Demand
DATALAKERS TECNOLOGIA LTDA,Artificial Intelligence,Scale AI Apps and Agents,Gemini Enterprise Agent Platform,2,,2,🟢 Ready (2 profiles)
DATALAKERS TECNOLOGIA LTDA,Artificial Intelligence,Your Business. Your Models.,Gemini Enterprise Agent Platform,2,,2,🟢 Ready (2 profiles)
DATALAKERS TECNOLOGIA LTDA,Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",BigQuery,1,6,7,🟢 Ready (7 DRP / 3 wkls)
DATALAKERS TECNOLOGIA LTDA,Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",Dataflow,,4,4,🟢 Ready (4 profiles)
DATALAKERS TECNOLOGIA LTDA,Data & Analytics,The AI Ready Data Cloud,BigQuery,1,6,7,🟢 Ready (7 profiles)
DATALAKERS TECNOLOGIA LTDA,Data & Analytics,The AI Ready Data Cloud,Dataflow,,4,4,🟢 Ready (4 profiles)
DATALAKERS TECNOLOGIA LTDA,Data & Analytics,The AI Ready Data Cloud,Dataproc,,1,1,🟢 Ready (1 profiles)
DATALAKERS TECNOLOGIA LTDA,Data & Analytics,The AI Ready Data Cloud,Looker,,,,⚪ No Active Demand
DATALAKERS TECNOLOGIA LTDA,Databases,"Migrate, Modernize, and Build with Data Cloud",AlloyDB for PostgreSQL,,,,⚪ No Active Demand
DATALAKERS TECNOLOGIA LTDA,Databases,"Migrate, Modernize, and Build with Data Cloud",Cloud SQL,,,,⚪ No Active Demand
DATALAKERS TECNOLOGIA LTDA,Databases,"Migrate, Modernize, and Build with Data Cloud",Spanner,,,,⚪ No Active Demand
DATALAKERS TECNOLOGIA LTDA,Databases,The AI Ready Data Cloud,AlloyDB for PostgreSQL,,,,⚪ No Active Demand
DATALAKERS TECNOLOGIA LTDA,Databases,The AI Ready Data Cloud,Cloud SQL,,,,⚪ No Active Demand
DATALAKERS TECNOLOGIA LTDA,Databases,The AI Ready Data Cloud,Spanner,,,,⚪ No Active Demand
DATALAKERS TECNOLOGIA LTDA,Infrastructure Modernization,Enterprise Platform of Choice: Oracle,Oracle,,,,⚪ No Active Demand
DATALAKERS TECNOLOGIA LTDA,Infrastructure Modernization,Enterprise Platform of Choice: SAP,SAP on Google Cloud,,,,⚪ No Active Demand
DATALAKERS TECNOLOGIA LTDA,Infrastructure Modernization,Enterprise Platform of Choice: VMware,Google Cloud VMware Engine,,,,⚪ No Active Demand
DATALAKERS TECNOLOGIA LTDA,Infrastructure Modernization,"Migrate, Modernize and Build",Google Cloud Networking,,,,⚪ No Active Demand
DATALAKERS TECNOLOGIA LTDA,Infrastructure Modernization,"Migrate, Modernize and Build",Google Compute Engine,,2,2,🟢 Ready (2 DRP / 1 wkls)
DATALAKERS TECNOLOGIA LTDA,Infrastructure Modernization,Sovereignty,Google Distributed Cloud,,,,⚪ No Active Demand
DATALAKERS TECNOLOGIA LTDA,Security,Agentic Defense with Google Security,Google Threat Intelligence,,,,⚪ No Active Demand
DATALAKERS TECNOLOGIA LTDA,Security,Agentic Defense with Google Security,Security Command Center,,,,⚪ No Active Demand
DATALAKERS TECNOLOGIA LTDA,Security,Agentic Defense with Google Security,Security Operations,,,,⚪ No Active Demand
DATALAKERS TECNOLOGIA LTDA,Security,Secure Innovation with Google Cloud,Cloud Security,,,,⚪ No Active Demand
DATALAKERS TECNOLOGIA LTDA,Workspace,Agentic Workplace Transformation,Workspace,,,,⚪ No Active Demand
DIGITAL INC TECNOLOGIA E MARKETING LTDA (DP6),Application Modernization,"Migrate, Modernize and Build",Apigee API Management,,,,⚪ No Active Demand
DIGITAL INC TECNOLOGIA E MARKETING LTDA (DP6),Application Modernization,"Migrate, Modernize and Build",Cloud Run,,,,⚪ No Active Demand
DIGITAL INC TECNOLOGIA E MARKETING LTDA (DP6),Application Modernization,"Migrate, Modernize and Build",Google Kubernetes Engine,,,,⚪ No Active Demand
DIGITAL INC TECNOLOGIA E MARKETING LTDA (DP6),Artificial Intelligence,Agentic Workplace Transformation,Gemini Enterprise,,,,⚪ No Active Demand
DIGITAL INC TECNOLOGIA E MARKETING LTDA (DP6),Artificial Intelligence,Gemini Enterprise for Customer Experience,GECX - Agent Assist,,,,⚪ No Active Demand
DIGITAL INC TECNOLOGIA E MARKETING LTDA (DP6),Artificial Intelligence,Gemini Enterprise for Customer Experience,GECX - CCaaS,,,,⚪ No Active Demand
DIGITAL INC TECNOLOGIA E MARKETING LTDA (DP6),Artificial Intelligence,Gemini Enterprise for Customer Experience,GECX - CX Agent Studio,,,,⚪ No Active Demand
DIGITAL INC TECNOLOGIA E MARKETING LTDA (DP6),Artificial Intelligence,Gemini Enterprise for Customer Experience,GECX - CX Insights,,,,⚪ No Active Demand
DIGITAL INC TECNOLOGIA E MARKETING LTDA (DP6),Artificial Intelligence,Gemini Enterprise for Customer Experience,Gemini Enterprise Agent Platform,,,,⚪ No Active Demand
DIGITAL INC TECNOLOGIA E MARKETING LTDA (DP6),Artificial Intelligence,Leverage Generative Media in your Business,Gemini Enterprise Agent Platform,,,,⚪ No Active Demand
DIGITAL INC TECNOLOGIA E MARKETING LTDA (DP6),Artificial Intelligence,Scale AI Apps and Agents,AI Applications,,,,⚪ No Active Demand
DIGITAL INC TECNOLOGIA E MARKETING LTDA (DP6),Artificial Intelligence,Scale AI Apps and Agents,Gemini Enterprise Agent Platform,,,,⚪ No Active Demand
DIGITAL INC TECNOLOGIA E MARKETING LTDA (DP6),Artificial Intelligence,Your Business. Your Models.,Gemini Enterprise Agent Platform,,,,⚪ No Active Demand
DIGITAL INC TECNOLOGIA E MARKETING LTDA (DP6),Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",BigQuery,,,,⚪ No Active Demand
DIGITAL INC TECNOLOGIA E MARKETING LTDA (DP6),Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",Dataflow,,,,⚪ No Active Demand
DIGITAL INC TECNOLOGIA E MARKETING LTDA (DP6),Data & Analytics,The AI Ready Data Cloud,BigQuery,,,,⚪ No Active Demand
DIGITAL INC TECNOLOGIA E MARKETING LTDA (DP6),Data & Analytics,The AI Ready Data Cloud,Dataflow,,,,⚪ No Active Demand
DIGITAL INC TECNOLOGIA E MARKETING LTDA (DP6),Data & Analytics,The AI Ready Data Cloud,Dataproc,,,,⚪ No Active Demand
DIGITAL INC TECNOLOGIA E MARKETING LTDA (DP6),Data & Analytics,The AI Ready Data Cloud,Looker,,,,⚪ No Active Demand
DIGITAL INC TECNOLOGIA E MARKETING LTDA (DP6),Databases,"Migrate, Modernize, and Build with Data Cloud",AlloyDB for PostgreSQL,,,,⚪ No Active Demand
DIGITAL INC TECNOLOGIA E MARKETING LTDA (DP6),Databases,"Migrate, Modernize, and Build with Data Cloud",Cloud SQL,,,,⚪ No Active Demand
DIGITAL INC TECNOLOGIA E MARKETING LTDA (DP6),Databases,"Migrate, Modernize, and Build with Data Cloud",Spanner,,,,⚪ No Active Demand
DIGITAL INC TECNOLOGIA E MARKETING LTDA (DP6),Databases,The AI Ready Data Cloud,AlloyDB for PostgreSQL,,,,⚪ No Active Demand
DIGITAL INC TECNOLOGIA E MARKETING LTDA (DP6),Databases,The AI Ready Data Cloud,Cloud SQL,,,,⚪ No Active Demand
DIGITAL INC TECNOLOGIA E MARKETING LTDA (DP6),Databases,The AI Ready Data Cloud,Spanner,,,,⚪ No Active Demand
DIGITAL INC TECNOLOGIA E MARKETING LTDA (DP6),Infrastructure Modernization,Enterprise Platform of Choice: Oracle,Oracle,,,,⚪ No Active Demand
